2010 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Health Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave",Health Plan’s Telephone Customer Service
H6141,HCPP - 1833 Cost,Sidney Hillman Health Center (SHHC),Sidney Hillman HC,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6142,HCPP - 1833 Cost,"Union Health Services, Inc.","Union Health Service, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6143,HCPP - 1833 Cost,Union Medical Center,Union Medical Center,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6178,Local CCP,CareSource,CareSource,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H6181,Local CCP,AMERIGROUP Corporation,AMERIGROUP Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H6228,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6231,National PACE,"Franciscan PACE, Inc.",PACE Baton Rouge,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6264,Local CCP,Lutheran Medical Center,Health Plus Elite,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6328,Local CCP,North Texas Specialty Physicians,Care N' Care Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6331,HCPP - 1833 Cost,Boro Medical Center,"Boro Medical, P.C.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6334,HCPP - 1833 Cost,NY Hotel Trades Council&Hotel Assn of NYC,NY Hotel Trades Council and Hotel Assn. of NYC,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6360,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Plus,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H6411,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,2 out of 5 stars
H6421,PFFS,"Bravo Health, Inc.",Bravo  Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars
H6528,Local CCP,XLHealth Corporation,Care Improvement PPO,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6551,National PACE,,LIFE St. Mary,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6609,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6642,Local CCP,Universal Health Care Inc.,"Universal HMO of Texas, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6793,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6806,PFFS,"MVP Health Care, Inc.",MVP HEALTH CARE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6864,Local CCP,"Guildnet, Inc.",GuildNet,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H6900,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6923,Local CCP,Aetna Inc.,Aetna Medicare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6952,Local CCP,"UnitedHealth Group, Inc.",Great Lakes Personal Care Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H7002,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7006,Local CCP,Marion Polk Community Health Plan LLC,"Marion Polk Community Health Plan Advantage, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7015,Local CCP,"Healthfirst Management Services, LLC.",Healthfirst NJ,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H7086,Local CCP,Community Health Group,Community Health Group,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H7149,Local CCP,Coventry Health Care Inc.,Coventry Health Care of Nebraska Advantra,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H7179,Local CCP,Arcadian Management Services Inc.,Arcadian Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H7187,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H7188,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H7195,National PACE,Northland Healthcare Alliance,Northland PACE Program,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7200,Local CCP,AMERIGROUP Corporation,AMERIGROUP Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H7220,Local CCP,"Clarian Health Partners, Inc.","Clarian Health Plans, Inc. - Clarian Medicare",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7226,PFFS,Harvard Pilgrim Health Care,HARVARD PILGRIM HEALTH CARE INC.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H7252,Local CCP,"PSO Health Services, LLC",Physicians Health Choice,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7281,Local CCP,"Bravo Health, Inc.",Bravo Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7292,Local CCP,Alameda Alliance for Health,Alliance for Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H7301,Local CCP,Coventry Health Care Inc.,PersonalCare Advantra,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars
H7306,Local CCP,Coventry Health Care Inc.,Coventry Advantra,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7352,Local CCP,"UPH/MIHS Ventures, L.L.C.",University Physicians/Maricopa Care Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H7406,PFFS,"Bravo Health, Inc.",Bravo Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars
H7475,Local CCP,"Care Wisconsin First, Inc.","Care Wisconsin Health Plan, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H7526,Local CCP,Medica Health Plans,Medica Health Plans,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H7660,National PACE,Lutheran SeniorLife,LIFE-Beaver County,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7678,Local CCP,"Molina Healthcare, Inc.,","Molina Healthcare of Texas, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H7731,Local CCP,"MD Care, Inc.",MD Care Inc,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H7787,Local CCP,"HealthSpring, Inc.",HealthSpring Medicare Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7908,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,2 out of 5 stars
H7917,Local CCP,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars
H7949,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8050,Local CCP,,Carilion Clinic Medicare Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8096,National PACE,"Centra Health, Inc.",Centra PACE,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8105,Local CCP,"Bravo Health, Inc.",Bravo Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8130,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Florida,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8189,Local CCP,Centene Corporation,Advantage by Managed Health Services,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars
H8393,Local CCP,Coventry Health Care Inc.,Coventry Health and Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars
H8424,National PACE,"Siouxland PACE, Inc.","SIOUXLAND PACE, INC.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8468,MSA,Geisinger Health System,Geisinger Gold,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8558,Local CCP,Munich American Holding Corporation,Sterling Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8578,Local CCP,"Baystate Health, Inc.","Health New England, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8604,Local CCP,Health Plan of the Upper Ohio Valley,Health Plan SecureChoice,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars
H8644,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H8649,Local CCP,Coventry Health Care Inc.,Altius Advantra,4 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H8655,National PACE,"Riverside Retirement Services, Inc.",Riverside PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8684,Local CCP,Aetna Inc.,Aetna Medicare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8707,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars
H8742,Local CCP,"ABRI Health Plan, Inc.",Universal American,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H8748,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8778,Local CCP,Essence LLP,Essence Healthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,4 out of 5 stars,4 out of 5 stars
H8800,National PACE,"TOTAL SENIOR CARE, INC.","Total Senior Care, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8822,Local CCP,Advantage Health Solutions,"ADVANTAGE Health Solutions, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8953,Local CCP,Humana Inc.,"Humana Health Plan of Ohio, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8980,Local CCP,Coventry Health Care Inc.,HealthAmerica Advantra,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8991,Local CCP,AMERIGROUP Corporation,AMERIGROUP Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars
H9001,Local CCP,Fallon Community Health Plan,Fallon Community Health Plan,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H9003,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H9005,Local CCP,"HealthPartners, Inc.",HealthPartners Classic Plan,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,5 stars
H9011,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H9047,Local CCP,Providence Health System,Providence Health Plan,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H9082,Local CCP,"Molina Healthcare, Inc.,","Molina Healthcare of New Mexico, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H9101,Local CCP,"Elderplan, Inc.","Elderplan, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H9103,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H9104,Local CCP,"SCAN Health Plan, Inc.",SCAN Health Plan,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars
H9149,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9184,Local CCP,,Bravo Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9266,National PACE,"PIEDMONT HEALTH SERVICES, INC.",Piedmont Health SeniorCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9302,Local CCP,"Puget Sound Health Partners, Inc.",Puget Sound Health Partners,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,5 stars,5 stars
H9313,Local CCP,MEDICAL MUTUAL OF OHIO,Advantage Plans from Medical Mutual of Ohio,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H9385,Local CCP,"SCAN Health Plan, Inc.",SCAN Health Plan Arizona,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H9452,PFFS,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H9503,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9519,PFFS,"Independent Health Association, Inc.",Independent Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H9572,Local CCP,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9615,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9670,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9720,PFFS,Dr. Kiran C. Patel,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,2 out of 5 stars
H9779,Local CCP,"Guardian Healthcare, Inc.","Guardian Healthcare, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9793,PFFS,Highmark Inc.,Highmark Inc.,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars
H9847,Local CCP,Coventry Health Care Inc.,Coventry Health Care,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9859,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,4 out of 5 stars,2 out of 5 stars,5 stars,4 out of 5 stars,5 stars
H9988,Local CCP,Munich American Holding Corporation,Sterling Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9998,National PACE,Lubbock Regional Mental Health,,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R3175,Regional CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
R3332,Regional CCP,Blue Cross and Blue Shield of Florida,BlueMedicare Regional PPO,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R3444,Regional CCP,XLHealth Corporation,Care Improvement Plus,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars
R5287,Regional CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
R5342,Regional CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
R5566,Regional CCP,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",MedicareBlue PPO,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars
R5674,Regional CCP,"UnitedHealth Group, Inc.","Sierra Health and Life Insurance Company, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
R5826,Regional CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
R5941,Regional CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
R6801,Regional CCP,XLHealth Corporation,Care Improvement Plus,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
R7444,Regional CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R9896,Regional CCP,XLHealth Corporation,Care Improvement Plus,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
R9943,Regional CCP,"Wellpoint, Inc.",Anthem Blue Cross Life & Health Insurance Company,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
X0001,POS Contractor,Humana NET Demo,Limited Income NET Program,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
